,Publication Link,Publication DOI,Alt Links,Publication Type,Title,Cited By,Cited By Link,On Earth MRI Publication Page?,X_LLM_Title,X_LLM_Journal,X_LLM_Publisher,X_LLM_Date,X_LLM_Year,X_LLM_Authors,X_LLM_Affiliations,X_LLM_Abstract,X_LLM_Keywords,X_LLM_Funders,X_LLM_Study_Area,X_LLM_Methods,X_LLM_Datasets,Record_Type,X_LLM_Authors_Clean,X_LLM_Authors_IDs,X_LLM_Authors_Parsed,Publisher,pub_id,count_authors,count_author_ids,NEW_AUTHORS,Notes
1,https://www.usgs.gov/data/state-geologic-map-compilation-sgmc-geodatabase-conterminous-united-states,https://doi.org/10.5066/F7WH2N65,NA,Dataset/Data Release,The State Geologic Map Compilation (SGMC) Geodatabase of the Conterminous United States,216,"https://scholar.google.com/scholar?cites=2612685295062971291&as_sdt=5,50&sciodt=0,50&hl=en",NA,The State Geologic Map Compilation (SGMC) geodatabase of the conterminous United States,NA,U.S. Geological Survey,2017,2017,"Horton, J.D.; San Juan, C.A.; Stoeser, D.B.",NA,"The State Geologic Map Compilation (SGMC) geodatabase of the conterminous United States represents a seamless, spatial database of 48 State geologic maps that range from 1:50,000 to 1:1,000,000 scale. A national digital geologic map database is essential in interpreting other datasets that support numerous types of national-scale studies and assessments, such as those that provide geochemistry, remote sensing, or geophysical data. The SGMC is a compilation of the individual U.S. Geological Survey releases of the Preliminary Integrated Geologic Map Databases for the United States. The SGMC geodatabase also contains updated data for six States and seven entirely new State geologic maps that have been added since the preliminary databases were published. Numerous errors have been corrected and enhancements added to the preliminary datasets using thorough quality assurance/quality control procedures. The SGMC is not a truly integrated geologic map database because geologic units have not been reconciled across State boundaries. However, the geologic data contained in each State geologic map have been standardized to allow spatial analyses of lithology, age, and stratigraphy at a national scale.",NA,NA,conterminous United States,quality assurance; quality control,NA,Parent,"Horton, J. D.; San Juan, C. A.; Stoeser, D. B.",516; 1115,"Horton, J.; Stoeser, D.",U.S. Geological Survey,1,3,2,"San Juan, C. A.","Revised NEW AUTHORS to include San Juan, which was likely removed by AI for looking like a place name"
2,https://pubs.usgs.gov/publication/70206338,NA,NA,Scientific Publication/Report,USGS critical minerals review (2019),50,"https://scholar.google.com/scholar?cites=7328815590995223648&as_sdt=10000005&sciodt=0,20&hl=en",Yes,USGS critical minerals review,Mining Engineering,"Society for Mining, Metallurgy & Exploration",NA,2019,"Steven M. Fortier; Jane M. Hammarstrom; Sarah J. Ryker; Warren C. Day; Robert R. Seal, II",NA,"The United Statesâ€™ supply of critical minerals has been a concern and a source of potential strategic vulnerabilities for U.S. economic and national security interests for decades (for example, see Strategic and Critical Minerals Stockpiling Act, 1939). More recently, with the rapid increase in the types of materials being used in advanced technologies (Fortier et al. 2018a), and geopolitical events surrounding the supply of rare earth elements (Ting and Seaman, 2013), among other developments, the critical minerals issue has again achieved a high level of visibility within the U.S. government (Executive Order 13817 (2017)).",NA,NA,NA,NA,NA,Parent,"Fortier, Steven M.; Hammarstrom, J. M.; Ryker, Sarah J.; Day, W. C.; Seal, R. R.",375; 458; 1021; 270; 996,"Fortier, Steven M.; Hammarstrom, Jane M.;  Ryker, S J; Day, Warren C.; Robert R. Seal, I I","Society for Mining, Metallurgy & Exploration",3,5,4,,"Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 1021 (Ryker, S J)"
3,https://pubs.usgs.gov/publication/70233196,NA,NA,Scientific Publication/Report,Annual Review 2021: Critical Minerals,38,"https://scholar.google.com/scholar?cites=1420468080621062866&as_sdt=10000005&sciodt=0,20&hl=en&scioq=Regional+Investigation+of+Rare+Earth+Element-Enriched+Underclay+Deposits+in+the+Central+and+Eastern+United+States:+An+Earth+Mapping+Resources+Initiative+(Earth+MRI)+Geochemical+Reconnaissance+Study",NA,USGS Critical Minerals Review: 2021,Mining Engineering,"Society for Mining, Metallurgy & Exploration",NA,2022,"Steven M. Fortier; Nedal T. Nassar; Garth E. Graham; Jane M. Hammarstrom; Warren C. Day; Jeffrey L. Mauk; Robert R. Seal, II",National Minerals Information Center,"In 2021, the U.S. Geological Survey (USGS) continued to play a central role in understanding and anticipating potential supply chain disruptions by defining and quantitatively evaluating mineral criticality. In addition, the USGS continued to evaluate new sources of domestic critical minerals by conducting mineral resource assessments, mapping and surveying regions prospective for critical minerals, re-assessing mine waste, and pursuing fundamental research in support of responsible, sustainable mining.",NA,NA,NA,NA,NA,Parent,"Fortier, Steven M.; Nassar, Nedal T.; Graham, Garth E.; Hammarstrom, J. M.; Day, W. C.; Mauk, Jeffrey L.; Seal, R. R.",375; 432; 458; 270; 761; 996,"Fortier, Steven M.; Graham, Garth E.; Hammarstrom, Jane M.; Day, Warren C.; Mauk, Jeffrey L.; Robert R. Seal, I I","Society for Mining, Metallurgy & Exploration",6,7,6,"Nassar, Nedal T.","Revised NEW_AUTHORS to include Nassar, Nedal T."
4,https://pubs.usgs.gov/publication/70245772,https://doi.org/10.5382/econgeo.4993,https://pubs.geoscienceworld.org/economicgeology/article/118/1/1/618738/A-RECENTLY-DISCOVERED-TRACHYTE-HOSTED-RARE-EARTH,Scientific Publication/Report,"A recently discovered trachyte-hosted rare earth element-niobium-zirconium occurrence in Northern Maine, USA",7,"https://scholar.google.com/scholar?cites=13732340605745508405&as_sdt=5,43&sciodt=0,43&hl=en",Yes,"Geological, geophysical, mineralogical, and geochemical data on a previously unknown trachyte-hosted rare earth element (REE)-Nb-Zr occurrence at Pennington Mountain in northern Maine, USA",NA,NA,NA,NA,NA,NA,"Reported here are geological, geophysical, mineralogical, and geochemical data on a previously unknown trachyte-hosted rare earth element (REE)-Nb-Zr occurrence at Pennington Mountain in northern Maine, USA. This occurrence was newly discovered by a regional multiparameter, airborne radiometric survey that revealed anomalously high equivalent Th (eTh) and U (eU), confirmed by a detailed ground radiometric survey and by portable X-Ray fluorescence (pXRF) and whole-rock analyses of representative rock samples.",NA,NA,Geology,airborne radiometric survey; ground radiometric survey; portable X-Ray fluorescence (pXRF); whole-rock analyses,NA,Parent,Chunzeng Wang; John F. Slack; Anjana K. Shah; Martin G. Yates; David R. Lentz; Amber T.H. Whittaker; Robert G. Marvinney,1211; 1083; 1052; 1285; 748,"Wang C.; Slack, J.F.; Shah, A.K.; Yates, M G; Marvinney, R G",U.S. Geological Survey,18,1,0,"Lentz, David R.; Whittaker, Amber T. H. ","Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 1211 (Wang C.), 1083 (Slack, J.F.), 1052 (Shah, A.K.), 1285 (Yates, M G), 748 (Marvinney, R G) and Revised NEW_AUTHORS to include Lentz, David R. & Whittaker,  Amber T.H. "
5,https://pubs.usgs.gov/publication/70224319,https://doi.org/10.1130/GSATG512A.1,https://www.geosociety.org/GSA/Publications/GSA_Today/GSA/GSAToday/science/G512A/article.aspx,Scientific Publication/Report,Mapping critical minerals from the sky,5,"https://scholar.google.com/scholar?cites=14309540681809885615&as_sdt=5,44&sciodt=0,44&hl=en",Yes,High-resolution aeroradiometric survey over the U.S. Atlantic Coastal Plain,NA,NA,NA,NA,NA,NA,"Critical mineral resources titanium, zirconium, and rare earth elements occur in placer deposits over vast parts of the U.S. Atlantic Coastal Plain. Key questions regarding provenance, pathways of minerals to deposit sites, and relations to geologic features remain unexplained. As part of a national effort to collect data over regions prospective for critical minerals, the first public high-resolution aeroradiometric survey over the U.S. Atlantic Coastal Plain was conducted over Quaternary sediments in South Carolina. The new data provide an unprecedented view of potential deposits by imaging Th-bearing minerals in the heavy mineral assemblage. Sand ridges show the highest radiometric Th values with localized, linear anomalies, especially along the shoreface and in areas reworked by multiple processes and/or during multiple episodes. Estuarine areas with finer-grained sediments show lower, distributed Th anomalies. Th values averaged over geologic unit areas are similar for both environments, suggesting that heavy minerals are present but have not been locally concentrated in the lower-energy estuarine environments. Radiometric K highlights immature minerals such as mica and potassium feldspar. K is elevated within shallow sediments younger than ca. 130 ka, an attribute that persists in regional data from northern South Carolina to northern Florida. Both K and Th are elevated over the floodplains of the Santee River and other rivers with headwaters in the igneous and metamorphic Piedmont Terrane. The persistence of K anomalies for distances of more than 100 km from the Santee River floodplain suggests that heavy minerals are delivered from the Piedmont to offshore areas by major rivers, transported along the coast by the longshore current, and redeposited onshore by marine processes.",NA,NA,U.S. Atlantic Coastal Plain,high-resolution aeroradiometric survey,NA,Parent,Anjana K. Shah; Robert Morrow; Michael Pace; M.Scott Harris; William Doar,1052,"Shah, A.K.",U.S. Geological Survey,22,1,0,"Morrow, Robert; Pace, Michael; Harris, M. Scott; Doar,William","Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 1052 (Shah, A.K.) and Revised NEW_AUTHORS to include Morrow, Robert; Pace, Michael; Harris, M.Scott;  & Doar,William"
6,https://www.nature.com/articles/s41598-024-64535-1,https://doi.org/10.1038/s41598-024-64535-1,NA,Scientific Publication/Report,An economic framework for assessing the impact of domestic mining policies on affordable energy transition,4,"https://scholar.google.com/scholar?cites=16803215008966912881&as_sdt=2005&sciodt=0,5&hl=en",NA,Domestic Mining Policies and Their Impact on Affordable Energy Transition,NA,NA,NA,NA,NA,NA,"This paper investigates a diverse set of policies aimed at promoting domestic mining and their implications for achieving an affordable energy transition. Through a comprehensive economic framework, we analyze the effects of demand and supply-side policies on import reliance, production costs, and the overall progress of the energy transition.",domestic mining; energy transition; critical minerals; economic framework; supply-side policies; demand-side policies,NA,Energy Transition and Mineral Policies,economic framework; supply and demand analysis; policy scenario modeling,NA,Parent,Mahelet G. Fikru,362,"Fikru, M G",Science Reports,24,1,0,,"Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 362 (Fikru, M G)"
7,https://pubs.usgs.gov/publication/cir1502,https://doi.org/10.3133/cir1502,NA,Scientific Publication/Report,Colorado River Basin Actionable and Strategic Integrated Science and Technology Projectâ€”Science Strategy,3,"https://scholar.google.com/scholar?cites=17091851400065030784&as_sdt=10000005&sciodt=0,20&hl=en",NA,Colorado River Basin Actionable and Strategic Integrated Science and Technology Projectâ€”Science strategy,U.S. Geological Survey Circular,U.S. Geological Survey,2023,2023,K. Dahm; T. Hawbaker; R. Frus; A. Monroe; J. Bradford; W. Andrews; A. Torregrosa; E. Anderson; D. Dean; S. Qi,NA,This document explains how the Colorado River Basin Actionable and Strategic Integrated Science and Technology (ASIST) project extends and enhances the science supported by USGS Mission Areas and Programs and articulates scientific gaps and stakeholder needs to identify and reduce drought risks.,drought; Colorado River Basin; integrated science; stakeholder engagement,NA,Colorado River Basin,data collection; monitoring; predictive modeling; stakeholder engagement,NA,Parent,"Dahm, K.; Hawbaker, T.; Frus, R.; Monroe, A.; Bradford, J.; Andrews, W.; Torregrosa, A.; Anderson, E.; Dean, D.; Qi, S.",259; 476; 384; 817; 144; 43; 35; 275; 965,"Dahm, K.; Hawbaker, T.; Frus, R.; Monroe, A.; Bradford, J.; Andrews, W.; Anderson, E.; Dean, D.; Qi, S.",U.S. Geological Survey,33,10,9,"Torregrosa, A.","Revised NEW_AUTHORS to include Torregrosa, A."
8,https://www.usgs.gov/data/airborne-magnetic-and-radiometric-survey-wet-mountains-and-surrounding-region-custer-and,https://doi.org/10.5066/P9PISI0X,NA,Dataset/Data Release,"Airborne magnetic and radiometric survey of the Wet Mountains and surrounding region, Custer and Fremont Counties, south-central Colorado, 2021",2,"https://scholar.google.com/scholar?cites=17309758424501803814&as_sdt=4000005&sciodt=0,18&hl=en",NA,High-Resolution Airborne Magnetic and Radiometric Survey over the Wet Mountains of Southern Colorado,NA,NA,2022-02,2022,Sander Geophysics Limited International (Contractor for USGS),Sander Geophysics Limited International; USGS,"This data release provides digital flight-line and gridded data for a high-resolution airborne magnetic and radiometric survey over the region surrounding the Wet Mountains of southern Colorado, including parts of Custer and Fremont Counties.",NA,NA,Wet Mountains of southern Colorado,Airborne magnetic survey; Radiometric survey; Helicopter-based data collection,NA,Parent,"International, Sander Geophysics Limited",NA,NA,U.S. Geological Survey,35,1,0,,
9,https://www.usgs.gov/data/airborne-magnetic-and-radiometric-survey-munsungun-region-northern-maine-2021,https://doi.org/10.5066/P97VUIJS,NA,Dataset/Data Release,"Airborne magnetic and radiometric survey, Munsungun region in northern Maine, 2021",2,"https://scholar.google.com/scholar?cites=8497662729072648249&as_sdt=5,39&sciodt=0,39&hl=en",NA,Digital Flight Line Data for Airborne Magnetic and Radiometric Survey over Northern Maine,NA,NA,NA,2021,NA,Sander Geophysics,"This data release provides digital flight line data for a high-resolution airborne magnetic and radiometric survey over parts of northern Maine. The airborne data collection was funded by the U.S. Geological Survey (USGS) Earth Mapping Resource Initiative (Earth MRI) with goals of better understanding volcanogenic massive sulfide mineral deposits, sediment hosted manganese deposits, and their surrounding geologic framework.",NA,U.S. Geological Survey (USGS) Earth Mapping Resource Initiative (Earth MRI),Northern Maine,Airborne magnetic survey; Airborne radiometric survey,NA,Parent,Anjana K Shah,1052,"Shah, A.K.",U.S. Geological Survey,36,1,0,,"Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 1052 (Shah, A.K.)"
10,https://pubs.usgs.gov/publication/70242847,https://doi.org/10.1029/2022TC007674,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022TC007674,Scientific Publication/Report,"Ediacaran-Ordovician Magmatism and REE Mineralization in the Wet Mountains, Colorado, USA: Implications for Failed Continental Rifting",2,"https://scholar.google.com/scholar?cites=2100777568371440319&as_sdt=2005&sciodt=0,5&hl=en",Yes,"Structures associated with Ediacaran-Ordovician alkaline magmatism and the timing of rare earth element (REE) mineralization in the Wet Mountains, CO",NA,NA,NA,NA,NA,NA,"Structures associated with Ediacaran-Ordovician alkaline magmatism and the timing of rare earth element (REE) mineralization in the Wet Mountains, CO, were analyzed using field, geophysical, and U-Th-Pb isotope methods to interpret their tectonic setting in the context of previously proposed rift models. The Wet Mountains are known for thorium and REE mineralization associated with failed rift-related, Ediacaran-Ordovician alkaline intrusions and veins. Structural field data indicate that alkaline dikes and mineralized veins are controlled by a system of northwest-striking, high-angle faults and tension fractures formed in a 040Â°-directed extensional regime. Magnetic and surface expressions of Democrat Creek and McClure Mountain complexes show tectonic elongation toward âˆ¼045Â°, consistent with NE-directed extension. Magnetic data also suggest the existence of a fourth, previously unrecognized mafic-ultramafic complex of inferred Cambrian age with a similar elongated orientation. Laser Ablation Inductively Coupled Plasma Mass Spectrometry (LA-ICP-MS) 208 Pb/ 232 Th analysis of low-uranium zircon from carbonatite dikes and in situ 206 Pb/ 238 U LA-ICP-MS analysis of monazite in mineralized dikes yielded 465 Â± 18 Ma and 489 Â± 33 Ma ages, respectively. These ages are consistent with the expected age based on slightly older, cross-cut syenite dikes and the hypothesized Ordovician end to failed rift-related magmatism. The Ediacaran-Ordovician age of alkaline magmatic rocks and the associated northeast-directed extension direction are similar to those of the along-strike, Ediacaran-Cambrian Southern Oklahoma Aulacogen. Therefore, the failed rift system in the Wet Mountains is interpreted to be a northwestern continuation of the Southern Oklahoma Aulacogen with carbonatite magmatism and thorium/REE mineralization representing late intrusive phases.",NA,NA,"Wet Mountains, Colorado",field methods; geophysical methods; U-Th-Pb isotope methods; Laser Ablation Inductively Coupled Plasma Mass Spectrometry (LA-ICP-MS),"USGS data release - Gravity data in the Wet Mountains area, southcentral Colorado, 2021 to 2022; USGS data release - Magnetic susceptibility measurements in the Wet Mountains, Colorado, 2021 to 2022; USGS data release - Airborne magnetic and radiometric survey of the Wet Mountains and surrounding region, Custer and Fremont Counties, south-central Colorado, 2021",Parent,Benjamin Patrick Magnin; Yvette Kuiper; Eric D. Anderson,731; 657; 35,"Magnin, B P; Kuiper, Y D; Anderson, E.",U.S. Geological Survey,37,1,0,,"Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 731 (Magnin, B P), 657 (Kuiper, Y D), & 35 (Anderson, E.)"
11,https://gdr.openei.org/submissions/1591,NA,NA,Dataset/Data Release,"GeoDAWN: Airborne magnetic and radiometric surveys of the northwestern Great Basin, Nevada and California",2,"https://scholar.google.com/scholar?cites=4303419711635914501&as_sdt=400005&sciodt=0,14&hl=en",NA,GeoDAWN Airborne Magnetic and Radiometric Data,NA,NA,NA,NA,NA,U.S. Geological Survey; Department of Energy,"This submission encompasses the airborne magnetic and radiometric survey data from the northwestern Great Basin in Nevada and California, collected under the GeoDAWN initiative: Geoscience Data Acquisition for Western Nevada. Included in the dataset are all flight details, geophysical data, and metadata gathered during the surveys. The U.S. Geological Survey (USGS) and the Department of Energy (DOE) have collaborated to acquire high-resolution airborne magnetic and radiometric data, over northern and western Nevada and eastern California, to support geologic and geophysical mapping and modeling that will assist geothermal and critical mineral studies. The surveys, referred to as GeoDAWN, span areas of major resource potential associated with the Walker Lane and western Great Basin. They were conducted under the USGS's Earth Mapping Resource Initiative (EarthMRI), with support from the DOE's Geothermal Technologies Office (GTO), and involved acquisition of aeroradiometric and aeromagnetic data that provide key information on surface geology and soil composition, and subsurface structure and geology, respectively.",NA,U.S. Geological Survey; Department of Energy,northwestern Great Basin in Nevada and California,airborne magnetic survey; radiometric survey,NA,Parent,Jonathan Glen; Tait Earney,421; 315,"Glen, Jonathan M G; Earney, Tait E.",U.S. Geological Survey,41,2,0,,"Revised X_LLM_Authors_IDs/X_LLM_Authors_Parsed to inclide 421 (Glen, Jonathan M G) & 315 (Earney, Tait E.)"
12,https://www.usgs.gov/data/high-resolution-airborne-magnetic-and-radiometric-survey-republic-graben-okanogan-and-kettle,https://doi.org/10.5066/P1PKEZOJ,NA,Dataset/Data Release,"High-resolution airborne magnetic and radiometric survey of the Republic Graben, Okanogan and Kettle metamorphic core complexes, Kootenay Arc and surrounding regions, Northeastern Washington",1,"https://scholar.google.com/scholar?cites=7484305760170333867&as_sdt=10000005&sciodt=0,20&hl=en",NA,Republic Aeromagnetic and Aeroradiometric Survey,NA,NA,NA,2023,"Precision Geosurveys, Inc. (Langley, British Columbia); EDCON-PRJ, Inc. (Lakewood, Colorado); U.S. Geological Survey","Precision Geosurveys, Inc.; EDCON-PRJ, Inc.; U.S. Geological Survey",The Republic survey consists of high-resolution aeromagnetic and radiometric data designed to image the subsurface geology and structure of a large portion of northeastern Washington. These data are intended for rigorous modeling and interpretation of the geology and structure in this region and will be used to evaluate the potential for undiscovered resources and will contribute to USGS and Washington DNR-related mineral and geothermal resource assessments of the region.,aeromagnetic data; aeroradiometric data; geology; resource assessment,Earth Mapping Resources Initiative (EarthMRI),northeastern Washington,low-altitude helicopter survey; data processing,.csv file databases; .grd file format; .tiff file format; shapefiles,Parent,"Precision Geosurveys, I. n. c.; EDCON-PRJ, I. n. c.; Survey, U. S. Geological",NA,NA,U.S. Geological Survey,50,3,0,,"Author is an organization, not a person, so not included"
13,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00991112&asa=N&AN=162050240&h=mLjSTME2ytJf4T5tzQ1duYobpNBF3CLKBZiKcS3%2FGzb5XlqBmfvovjvCWyfRhPat60H%2BmeJP0vrayf2bs1q5qQ%3D%3D&crl=c,https://doi.org/10.14358/PERS.89.3.129,NA,Scientific Publication/Report,Technology Changes During My 60-Year Mapping Career,1,"https://scholar.google.com/scholar?cites=13615806014681249482&as_sdt=40005&sciodt=0,10&hl=en",NA,TECHNOLOGY CHANGES DURING MY 60-YEAR MAPPING CAREER.,Photogrammetric Engineering & Remote Sensing,NA,3/1/2023,2023,"MAUNE, DAVID F.",NA,"In the article ""Technology Changes During My 60-Year Mapping Career,"" Dr. David F. Maune reflects on his career in mapping sciences and discusses the advancements in technology that he has witnessed. He highlights the transition from manual scribing to computer-based GIS, the adoption of GIS technology by national mapping agencies, and the shift from traditional cartography to digital map production and distribution. Dr. Maune also discusses changes in map accuracy standards, advancements in surveying and geodesy, the evolution of aerial and satellite imagery, and the use of photogrammetry, radar, lidar, and sonar technologies. The article emphasizes the importance of standardized high-quality elevation data and highlights ongoing initiatives such as the 3D Elevation Program and the Earth Mapping Resources Initiative. Dr. Maune expresses amazement at the progress made in these technologies and their impact on the mapping profession.",INFORMATION storage & retrieval systems; OCEANOGRAPHIC maps; GEOGRAPHIC information systems; LAND cover; RARE earth metals; GEOGRAPHIC names; SHORELINES,NA,NA,photogrammetry; radar; lidar; sonar,NA,Parent,"MAUNE, DAVID F.",,,Photogrammetric Engineering & Remote Sensing,54,1,2,"MAUNE, DAVID F.",NEED TO COMBINE THESE TWO IDS INTO A SINGLE AUTHOR. Removed from X_LLM_Authors_IDs/X_LLM_Authors_Parsed and moved to NEW_AUTHORS
